neighbourhood_name,neighbourhood_latitude,neighbourhood_longitude,venue,venue_id,venue_category
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Limite,17043,Clothing Store
Downsview,43.738702491884546,-79.4742449339154,Tim Hortons,13065,Restaurant
Downsview,43.738702491884546,-79.4742449339154,Work Authority Truck,17048,Shoe Store
Downsview,43.738702491884546,-79.4742449339154,Main Cafeteria,13052,Food Court
Downsview,43.738702491884546,-79.4742449339154,Fly by,13382,Snack Place
Oakdale-Beverley Heights,43.72655742807463,-79.51074278994717,Tim Hortons,13065,Restaurant
Avondale,43.76096433742061,-79.4008416581734,Tim Hortons,13065,Restaurant
Avondale,43.76096433742061,-79.4008416581734,Harrison Garden Blvd Dog Park,16033,Dog Park
Avondale,43.76096433742061,-79.4008416581734,Wimpy's Diner,13049,Diner
Avondale,43.76096433742061,-79.4008416581734,Ava Food Market,17057,Food and Beverage Retail
Avondale,43.76096433742061,-79.4008416581734,Invictus Game Station,10001,Amusement Park
Avondale,43.76096433742061,-79.4008416581734,Paisano's,13064,Pizzeria
Avondale,43.76096433742061,-79.4008416581734,Rexall Pharma Plus,17035,Drugstore
Avondale,43.76096433742061,-79.4008416581734,Coffee Time,13002,Bakery
Avondale,43.76096433742061,-79.4008416581734,RONA North York,17028,Construction Supplies Store
Avondale,43.76096433742061,-79.4008416581734,Siloam Sushi,13072,Asian Restaurant
Avondale,43.76096433742061,-79.4008416581734,Domino's Pizza,13064,Pizzeria
Avondale,43.76096433742061,-79.4008416581734,Global Pet Foods,17000,Retail
Avondale,43.76096433742061,-79.4008416581734,101 Spa,11061,Health and Beauty Service
Avondale,43.76096433742061,-79.4008416581734,Cotswold Park,16032,Park
Avondale,43.76096433742061,-79.4008416581734,Relaxology Wellness Centre,11073,Spa
Avondale,43.76096433742061,-79.4008416581734,Cinnamon Grove,11057,Caterer
Avondale,43.76096433742061,-79.4008416581734,Reprodux,17102,Office Supply Store
East Willowdale,43.77344975623484,-79.40031067799896,Parkview Park,16037,Playground
Yonge-Doris,43.77154391890087,-79.41190948459914,The Captain's Boil,13338,Seafood Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Salon de Elephant,11064,Hair Salon
Yonge-Doris,43.77154391890087,-79.41190948459914,Aroma Espresso Bar,13034,Café
Yonge-Doris,43.77154391890087,-79.41190948459914,Dakgogi,13009,Cocktail Bar
Yonge-Doris,43.77154391890087,-79.41190948459914,Hanahreum Mart,17069,Grocery Store / Supermarket
Yonge-Doris,43.77154391890087,-79.41190948459914,Owl of Minerva,13289,Korean Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Cineplex Cinemas,10024,Movie Theater
Yonge-Doris,43.77154391890087,-79.41190948459914,Metro,17035,Drugstore
Yonge-Doris,43.77154391890087,-79.41190948459914,Hot Impression 川渝印象,13099,Chinese Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Cyclepath,17119,Bicycle Store
Yonge-Doris,43.77154391890087,-79.41190948459914,Sushi Bong,13049,Diner
Yonge-Doris,43.77154391890087,-79.41190948459914,RoyalTea 皇茶,13033,Bubble Tea Shop
Yonge-Doris,43.77154391890087,-79.41190948459914,Italo & Tony Barber Shop,11064,Hair Salon
Yonge-Doris,43.77154391890087,-79.41190948459914,Konjiki Ramen,13272,Ramen Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Gibson House Museum,10030,History Museum
Yonge-Doris,43.77154391890087,-79.41190948459914,Saryo Cafe,13034,Café
Yonge-Doris,43.77154391890087,-79.41190948459914,Jack Astor's Bar and Grill,11020,Business and Strategy Consulting Office
Yonge-Doris,43.77154391890087,-79.41190948459914,Trio Restaurant,13065,Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Haida Sandwich,13145,Fast Food Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Sharetea,13033,Bubble Tea Shop
Yonge-Doris,43.77154391890087,-79.41190948459914,Mot Na Son Restaurant,13289,Korean Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Gibson Park,16032,Park
Yonge-Doris,43.77154391890087,-79.41190948459914,Let's Roll,13276,Sushi Restaurant
Yonge-Doris,43.77154391890087,-79.41190948459914,Queen's Patisserie Bakery,13002,Bakery
Yonge-Doris,43.77154391890087,-79.41190948459914,Alibi Bar & Lounge,13003,Bar
Yonge-Doris,43.77154391890087,-79.41190948459914,North Town Convenience,17000,Retail
Yonge-Doris,43.77154391890087,-79.41190948459914,Sasaki Fine Pastry North York,13047,Pastry Shop
Yonge-Doris,43.77154391890087,-79.41190948459914,Dempsey Park,16032,Park
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,A&W Restaurant,13145,Fast Food Restaurant
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Subway,13145,Fast Food Restaurant
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Tim Hortons,13065,Restaurant
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Food Basics,17069,Grocery Store / Supermarket
